"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
29.3,158.9,"PIFL2",13.208,0.0137013702347963,"c0032",5,"5-9 trees",3556,62.1354283185709
7.7,159.1,"POTR",24.13,0.0457303499885492,"a0173",1,"single",3560,162.964014650622
19.2,159.5,"PSME",20.574,0.0332450777035868,"b0126",3,"2-4 trees",3569,126.27284828981
76.2,159.6,"POTR",4.318,0.00146438461459177,"e0001",20,"16-25 trees",3573,10.3860933282474
183.4,159.7,"PIPO",2.286,0.000410433058068973,"d0010",15,"10-15 trees",3576,3.75423938681759
146.9,159.8,"PIPO",29.21,0.0670120641106441,"c0053",7,"5-9 trees",3578,221.233296775782
74.8,160,"PIPU",1.524,0.000182414692475099,"e0001",20,"16-25 trees",3579,1.96234763927647
71,160.1,"PIEN",19.304,0.0292674239926715,"e0001",20,"16-25 trees",3583,114.034350743377
75.9,160.1,"PIPO",9.652,0.00731685599816787,"e0001",20,"16-25 trees",3584,37.6173069764342
128.5,160.1,"PIEN",10.668,0.00893831993127986,"a0167",1,"single",3585,44.15021382169
68.1,160.3,"PIPU",43.18,0.146438461459177,"e0001",20,"16-25 trees",3591,413.477822801311
65.6,160.5,"PIEN",6.604,0.00342534255869908,"e0001",20,"16-25 trees",3599,20.4970473014041
75.8,161.1,"PIPO",1.778,0.000248286664757774,"e0001",20,"16-25 trees",3605,2.51125497780401
29.9,161.3,"PIEN",1.524,0.000182414692475099,"c0032",5,"5-9 trees",3611,1.96234763927647
182.1,161.4,"PSME",28.702,0.0647014780059595,"d0010",15,"10-15 trees",3613,215.109433315022
179.9,161.7,"PIEN",16.51,0.0214083909918693,"d0010",15,"10-15 trees",3617,88.7963914804711
146.6,161.8,"PSME",22.352,0.0392394271813102,"c0053",7,"5-9 trees",3619,144.180398665019
72.5,162.1,"PSME",39.37,0.121736471853174,"e0001",20,"16-25 trees",3623,356.668424731358
148.1,162.8,"PIEN",11.43,0.0102608264517243,"c0053",7,"5-9 trees",3632,49.3030706693208
149.7,162.8,"PIPU",22.352,0.0392394271813102,"c0053",7,"5-9 trees",3633,144.180398665019
28.4,162.9,"PIPO",44.958,0.158746386126455,"c0032",5,"5-9 trees",3636,441.053398423128
143.3,162.9,"PIEN",14.224,0.0158903465444975,"c0053",7,"5-9 trees",3638,69.9575819362394
31.8,163,"PIPU",14.478,0.0164629259958777,"c0032",5,"5-9 trees",3639,71.9670524479585
